Region,State,Domestic_Visits_in_Lakhs
NORTH,Chandigarh,36.6
NORTH,Delhi,3941.5
NORTH,Haryana,201.2
NORTH,Himachal Pradesh,1594.2
NORTH,Jammu & Kashmir,2067.9
NORTH,Ladakh,75.9
NORTH,Punjab,3570.8
NORTH,Rajasthan,17905.2
NORTH,Uttar Pradesh,47852.6
NORTH,Uttarakhand,5814.1
EAST,Andaman & Nicobar Islands,32.3
EAST,Bihar,8158.6
EAST,Jharkhand,3577.6
EAST,Odisha,972.5
EAST,West Bengal,14566.9
NORTH EAST,Arunachal Pradesh,104.1
NORTH EAST,Assam,761.3
NORTH EAST,Manipur,5.8
NORTH EAST,Meghalaya,137.2
NORTH EAST,Mizoram,20.9
NORTH EAST,Nagaland,10.0
NORTH EAST,Sikkim,132.1
NORTH EAST,Tripura,36.6
WEST & CENTRAL,Chhattisgarh,2602.2
WEST & CENTRAL,Goa,817.5
WEST & CENTRAL,Gujarat,17806.7
WEST & CENTRAL,Madhya Pradesh,11194.6
WEST & CENTRAL,Maharashtra,16136.0
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,100.4
SOUTH,Andhra Pradesh,25470.6
SOUTH,Karnataka,28412.1
SOUTH,Kerala,2187.2
SOUTH,Lakshadweep,4.6
SOUTH,Puducherry,209.2
SOUTH,Tamil Nadu,28601.2
SOUTH,Telangana,5844.8
