Region,State,Domestic_Visits_in_Lakhs
NORTH,Chandigarh,302.7
NORTH,Delhi,2718.6
NORTH,Haryana,210.8
NORTH,Himachal Pradesh,1507.1
NORTH,Jammu & Kashmir,1849.9
NORTH,Leh Ladakh,51.0
NORTH,Punjab,2608.9
NORTH,Rajasthan,10832.8
NORTH,Uttar Pradesh,31791.4
NORTH,Uttarakhand,5464.3
EAST,Andaman & Nicobar Islands,23.5
EAST,Bihar,2533.0
EAST,Jharkhand,3828.4
EAST,Odisha,786.8
EAST,West Bengal,8454.2
NORTH EAST,Arunachal Pradesh,22.2
NORTH EAST,Assam,838.2
NORTH EAST,Manipur,14.0
NORTH EAST,Meghalaya,93.7
NORTH EAST,Mizoram,21.8
NORTH EAST,Nagaland,9.7
NORTH EAST,Sikkim,162.6
NORTH EAST,Tripura,23.6
WEST & CENTRAL,Chhattisgarh,2363.6
WEST & CENTRAL,Goa,701.2
WEST & CENTRAL,Gujarat,13581.1
WEST & CENTRAL,Madhya Pradesh,3584.9
WEST & CENTRAL,Maharashtra,11129.8
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,80.0
SOUTH,Andhra Pradesh,19271.7
SOUTH,Karnataka,18241.3
SOUTH,Kerala,1886.7
SOUTH,Lakshadweep,2.3
SOUTH,Puducherry,176.0
SOUTH,Tamil Nadu,21858.5
SOUTH,Telangana,6074.8
